Object Selected, Correct, Was Selected, Time Hovered, Time Selected
toster_01,True,True,1.867437,5.621126
flower_sticker_01,True,False,0.5322158,0
pan_01,True,True,1.010795,4.112868
clock_01,True,True,0.6992868,15.3341
frame_01,True,True,0.3480309,14.56726
frame_02,True,True,1.170038,13.5772
ladle_01,True,True,1.489312,4.787815
rolling_pin_01,True,False,0.09824611,0
big_knife_01,True,True,0.7229856,6.887824
socket_01,True,False,1.323131,0
small_knife_01,True,True,0.8331397,7.764917
medium_knife_01,False,False,0.4384966,0
heart_sticker_01,False,False,0,0
key_sticker_01,False,False,0.7633797,0
magnet_sticker_01,False,True,1.736752,12.04364
moose_sticker_01,False,False,3.646719,0
smile_sticker_01,False,False,0.5664501,0
star_sticker_01,False,False,1.033883,0
kettle_01,False,False,6.270378,0
radio_01,False,False,1.05849,0
souppot_01,False,False,3.979017,0
jars_01,False,False,3.186764,0
bin_01,False,False,0,0
cutting_board_01,False,False,0.0844303,0
switch_01,False,False,0.4592724,0
spatula_01,False,False,3.59517,0
