Object Selected, Correct, Was Selected, Time Hovered, Time Selected
toster_01,True,True,1.027002,4.062732
flower_sticker_01,True,False,0,0
pan_01,True,False,0,0
clock_01,True,True,0.7673663,8.035134
frame_01,True,False,0,0
frame_02,True,False,0.069456,0
ladle_01,True,False,0,0
rolling_pin_01,True,False,0.1983995,0
big_knife_01,True,True,0.6141026,5.329509
socket_01,True,False,0,0
small_knife_01,True,True,0.7943795,6.125107
medium_knife_01,False,False,0.5099421,0
heart_sticker_01,True,False,0,0
key_sticker_01,False,False,0,0
magnet_sticker_01,True,False,0,0
moose_sticker_01,False,False,0,0
smile_sticker_01,False,False,0.0823237,0
star_sticker_01,False,False,0,0
kettle_01,False,False,0,0
radio_01,False,False,0.2632443,0
souppot_01,False,False,0,0
jars_01,False,True,0.5762684,9.735748
bin_01,False,False,0,0
cutting_board_01,False,False,0.3318311,0
switch_01,False,False,0,0
spatula_01,False,False,0,0
